EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,2008,WBSWD935X8PY39000,,PY39000,"MSRP,223,302,403,494,609,639,655,771",,,07-18-2006,950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2008,WBSWD93518PY39001,,PY39001,"MSRP,302,322,403,494,639,655,771",,,07-27-2006,950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2008,WBSWD93538PY39002,,PY39002,"MSRP,2MK,302,322,403,494,609,639,771",,,08-24-2006,950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2008,WBSWD93558PY39003,,PY39003,"MSRP,2MK,302,322,403,494,609,639,771",,,08-28-2006,950,,,,,,,,,,
A52 - Space Gray Metallic,,GFAT - Unknown Upholstery Code,2008,WBSWD93578PY39004,,PY39004,"MSRP,302,322,494,609,639,771",,,09-07-2006,475,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93598PY39005,,PY39005,"MSRP,223,302,403,494,609,639,771",,,09-16-2006,,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93508PY39006,,PY39006,"MSRP,223,302,403,494,609,639,771",,,09-20-2006,,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93528PY39007,,PY39007,"MSRP,302,609,771",,,09-19-2006,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2008,WBSWD93548PY39008,,PY39008,"MSRP,302,494,609,639,771",,,09-18-2006,950,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93568PY39009,,PY39009,"MSRP.3,223,302,494,609,639,655,771",,,09-20-2006,,,,,,,,,,,
