EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM93579E201000,,E201000,"MSRP.2,ZPP.2,ZTP,302,403,417,465,494,507,6FL,653,655,752",,"$68,820.00",,,preproduction,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM93599E201001,,E201001,"MSRP.2,ZPP.1,ZTP,2MK,2MT.1,403,417,465,494,6FL,653,655",,"$70,270.00",,,preproduction,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93509E201002,,E201002,"MSRP.2,ZPP.1,ZTP,2MT.1,403,465,6FL,653,655",,"$66,295.00",,,preproduction,"Service Zentrum BMW AG, Dingolfing",,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93529E201003,,E201003,"MSRP.2,ZPP.1,ZTP,2MT.1,403,465,6FL,653,655",,"$66,295.00",,,preproduction,"Niederlassung München MINI München BMW AG,",,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93549E201004,,E201004,"MSRP.2,ZPP.1,ZTP,2MT.1,403,465,6FL,653,655",,"$66,295.00",,,preproduction,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93569E201005,,E201005,"MSRP.2,ZCW,ZPP.1,2MK,2MT.1,223,6FL,653,655",,"$66,420.00",,,,Hendrick BMW,,,,,,,,
381 - Le Mans Blue Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93589E201006,,E201006,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,653",,"$68,625.00",,,,"BMWNA WORKSHOP EAST BMWNA WORKSHOP EAST , Woodcliff Lake",,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM935X9E201007,,E201007,"MSRP.2,ZTP,2MK,2MT.1,494,4MY,6FL,653",,"$66,075.00",,,,"BMWNA WORKSHOP EAST BMWNA WORKSHOP EAST , Woodcliff Lake",,,,,,,,
381 - Le Mans Blue Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93519E201008,,E201008,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,653",,"$68,625.00",,,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM93539E201009,,E201009,"MSRP.2,ZTP,2MK,2MT.1,494,4MY,6FL,653",,"$66,075.00",,,,,,,,,,,,
381 - Le Mans Blue Metallic,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM935X9E201010,,E201010,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,2MT.1,403,6FL,653",,"$69,125.00",,,,BMW of Austin,,,,,,,,
