EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C50AP362390,,P362390,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,507,6FL,653,655",,,08-29-2009,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C52AP362391,,P362391,"MSRP,ZPP.3,2MK,2MT.1,6FL",,,08-29-2009,,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,,WBSWD9C54AP362392,,P362392,"MSRP,ZCW,ZPP.3,302,322,415,507,609,6FL,653,655,752",,,08-31-2009,550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,,WBSWD9C56AP362393,,P362393,"MSRP,ZPP.1,ZTP,2MK,507,6FL,6NF,653,752",,,08-31-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C58AP362394,,P362394,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,6FL,653,655,752",,,08-31-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362395,,P362395,"MSRP,ZPP.3,ZTP,2MT.1,494,6FL,653,655",,,08-31-2009,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C51AP362396,,P362396,"MSRP,ZPP.2,ZTP,2MK,2MT.1,494,507,6FL,6NF,653",,,08-31-2009,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C53AP362397,,P362397,"MSRP,ZPP.1,ZTP,2MK,2MT.1,653",,,08-31-2009,,,,,,,,,,,
300 - Alpine White,,NCH3 - Beige Novillo Leather,,WBSWD9C55AP362398,,P362398,"MSRP,2MK,2MT.1,302,322,403,494,4MX,507,609,653,752",,,08-31-2009,950,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C57AP362399,,P362399,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,302,403,6FL,6NF,653,752",,,08-31-2009,550,,,,,,,,,,
668 - Jet Black,,NCH1 - Silver Novillo Leather,,WBSWD9C5XAP362400,,P362400,"MSRP,ZPP.1,ZTP,2MK,653",,,08-31-2009,,,,,,,,,,,
