 ,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C50BVS96400,,VS96400,"MSRP,ZCV,ZPP,688",,,"Aug 19, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C52BVS96401,,VS96401,"MSRP,ZCV,ZPP,655",,,"Aug 19, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C54BVS96402,,VS96402,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 19, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C56BVS96403,,VS96403,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 19, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C58BVS96404,,VS96404,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C5XBVS96405,,VS96405,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C51BVS96406,,VS96406,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C53BVS96407,,VS96407,"MSRP,494,655,688",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C55BVS96408,,VS96408,"MSRP,494",,,"Aug 20, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C57BVS96409,,VS96409,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 20, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C53BVS96410,,VS96410,"MSRP,494,655",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C55BVS96411,,VS96411,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 20, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C57BVS96412,,VS96412,"MSRP,ZCV,ZPP,494,655,688",,,"Aug 22, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C59BVS96413,,VS96413,"MSRP,ZCV,ZPP,494,655,688",,,"Aug 22, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C50BVS96414,,VS96414,"MSRP,ZCV,ZPP,494,688,6NR",,,"Aug 22, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C52BVS96415,,VS96415,"MSRP,ZCV,ZPP,688,6NR",,,"Aug 22, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C54BVS96416,,VS96416,"MSRP,ZCV,ZPP,688,6NR",,,"Aug 22, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C56BVS96417,,VS96417,"MSRP,494,655",,,"Aug 25, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C58BVS96418,,VS96418,"MSRP,494,688",,,"Aug 25, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C5XBVS96419,,VS96419,"MSRP,ZPP,688",,,"Aug 25, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C56BVS96420,,VS96420,"MSRP,ZPP,494,655,688",,,"Aug 26, 2011",,,,,,,,,,,
300 - Alpine White,,LWNZ - Unknown Upholstery Code,,WBSUR9C58BVS96421,,VS96421,"MSRP,494",,,"Aug 26, 2011",,,,,,,,,,,
B44 - Valencia Orange Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C5XBVS96422,,VS96422,"MSRP,ZPP,494,655,688",,,"Aug 26, 2011",,,,,,,,,,,
475 - Black Sapphire Metallic,,LWNZ - Unknown Upholstery Code,,WBSUR9C51BVS96423,,VS96423,"MSRP,ZCV,ZPP,494,655,688,6NR",,,"Aug 27, 2011",,,,,,,,,,,
