EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202422,C58,E202422,"MSRP.1,ZCP,ZCW,ZTP,ZPP.3,2MK,417,507,655,752",,"$72,980.00",,550,vin #1,,,,,,,,
A75 - Melbourne Red Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C51BE202424,C51,E202424,"MSRP.1,ZCP,ZTP,2MK,6FL,655,771",,"$67,525.00",,550,"Vehicle exported from Savannah, GA, ",Otto's BMW,,,,,,,
A30 - Interologos Blue Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C53BE202425,C53,E202425,"MSRP.1,ZCP,ZTP,2MK,653,6FL,655",,"$67,525.00",04-01-2010,550,,Otto's BMW,,,,,,,
A30 - Interologos Blue Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C55BE202426,C55,E202426,"MSRP,ZCP,ZTP,655,6FL,771",,"$65,125.00",,550,,,,,,,,,
A30 - Interologos Blue Met.,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C57BE202427,C57,E202427,"MSRP,ZCP,ZPP.3,ZTP,2MK,6FL,655",,"$70,025.00",,550,INDIVIDUAL,BMW of Las Vegas,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202428,C59,E202428,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,403,6FL,752",,"$70,275.00",,,TOTAL LOSS, New Century BMW ,,,,,,,
A52 - Space Gray Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C50BE202429,C50,E202429,"MSRP.1,2MT.1,6FL,771",,"$59,725.00",,550,,Weber BMW,,,,,,,
A52 - Space Gray Met.,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C57BE202430,C57,E202430,"MSRP.1,ZPP.3,ZTP,2MK,494,6FL",,"$67,175.00",05-10-2010,550,Vehicle exported and imported to British Columbia,"Dreyer & Reinbold, Inc.",,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202431,C59,E202431,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,302,6FL,6NF,655,752",,"$71,425.00",,,TOTAL LOSS,South Motors BMW,,,,,,,
668 - Jet Black,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C50BE202432,C50,E202432,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,403,507,6FL,6NF,655,752",,"$70,955.00",,,,BMW of San Antonio,,,,,,,
A52 - Space Gray Met.,,NDH2 - EXT. FOX RED NOVILLO,2011,WBSPM9C52BE202433,C52,E202433,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,302,326,403,507,5AC,655,752",,"$72,705.00",,550/1100,,Patrick BMW and MINI,,,,,,,
