EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,2013 VINS,,,,,,,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C53DE799080,,E799080,"MSRP.1,ZCW,302,322,403,4MX,609,6FL,6NF,6NR",,,06-30-2012,550/950,,CAN,,,,,,,,
U91 - Frozen Black ,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C55DE799081,,E799081,"MSRP.1,2MK,302,322,4MY,507",,,07-11-2012,950,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C57DE799082,,E799082,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,07-12-2012,550/950,,CAN,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799083,,E799083,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,06-30-2012,550,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C50DE799084,,E799084,"MSRP.1,ZCP,ZPP.3,302,6FL,655",,,06-30-2012,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C52DE799085,,E799085,"MSRP.1,ZCW,2MK,2MT.1,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,06-30-2012,950,,CAN,,,,,,,,
A96 - Mineral White Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C54DE799086,,E799086,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,07-03-2012,,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C56DE799087,,E799087,"MSRP.1,ZCP,ZPP.2,302,403,494,6FL,6NF,6NR,655,752",,,07-03-2012,550,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C58DE799088,,E799088,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,07-03-2012,1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799089,,E799089,"MSRP.1,ZCP,ZCW,ZPP.3,302,6FL,6NF,6NR,655,752",,,07-03-2012,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C56DE799090,,E799090,"MSRP.1,ZCP,ZPP.3,2MK,302,403,494,6FL,6NF,6NR,655,752",,,07-03-2012,,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DE799091,,E799091,"MSRP.1,ZCP,2MK,302,494,609,6FL,771",,,07-03-2012,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799092,,E799092,"MSRP.1,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,07-03-2012,550,,,,,,,,,,
300 - Alpine White,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C51DE799093,,E799093,"MSRP.1,ZCP,2MK,302,322,494,4MY,609,6FL,655",,,07-03-2012,2000,,,,,,,,,,
A52 - Space Gray Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C53DE799094,,E799094,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,403,6FL,6NF,6NR,655,752",,,07-03-2012,550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C55DE799095,,E799095,"MSRP.1,ZCP,ZPP.3,302,6FL",,,07-04-2012,,,,,,,,,,,
A96 - Mineral White Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C57DE799096,,E799096,"MSRP.1,ZCW,ZPP.3,2MT.1,302,6FL,6NF,6NR,655",,,07-04-2012,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C59DE799097,,E799097,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,609,6FL,655,752",,,07-04-2012,550/950,,CAN,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C50DE799098,,E799098,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-04-2012,,,,,,,,,,,
A96 - Mineral White Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C52DE799099,,E799099,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-04-2012,,,,,,,,,,,
A96 - Mineral White Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C55DE799100,,E799100,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,655",,,07-04-2012,1100,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C57DE799101,,E799101,"MSRP.1,ZCP,ZPP.1,302,494,6FL",,,07-05-2012,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C59DE799102,,E799102,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-05-2012,550/1100,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C50DE799103,,E799103,"MSRP.1,ZCW,ZPP.1,302,6FL,752",,,07-05-2012,,,,,,,,,,,
668 - Jet Black,,NCH1 - Silver Novillo Leather,2013,WBSKG9C52DE799104,,E799104,"MSRP.1,ZPP.1,2MK,2MT.1,302,494,6FL",,,07-05-2012,,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C54DE799105,,E799105,"MSRP.1,ZCP,ZCW,302,322,415,4MY,507,609,6FL,655,752",,,07-05-2012,550/950,,CAN,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C56DE799106,,E799106,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-05-2012,550,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DE799107,,E799107,"MSRP.1,2MK,2MT.1,302,322,403,494,4MY,507,6FL",,,07-05-2012,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799108,,E799108,"MSRP.1,ZCP,ZPP.2,2MK,302,494,6FL",,,07-05-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DE799109,,E799109,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-05-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C58DE799110,,E799110,"MSRP.1,ZPP.1,2MK,302,494,6FL,752",,,07-05-2012,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C5XDE799111,,E799111,"MSRP.1,ZCP,ZCW,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,07-05-2012,550/2000,,CAN,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C51DE799112,,E799112,"MSRP.1,ZCP,2MK,302,322,6FL,771",,,08-17-2012,,,,,,,,,,,
327 - Santorini Blue ,,NCSW - Black Novillo Leather,2013,WBSKG9C53DE799113,,E799113,"MSRP.1,IND,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-16-2012,,,,,,,,,,,
