EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
,,,,,,,,,,,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351800,,V351800,2MK,,"Nov 20, 2014",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351801,,V351801,,,"Jan 28, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351802,,V351802,2MK,,"Jan 26, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351803,,V351803,2MK,,"Feb 13, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351804,,V351804,,,"Apr 17, 2015",,,,"Fuhrpark, München, DE",,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351805,,V351805,2MK,,"Apr 17, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351806,,V351806,,,"Apr 21, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351807,,V351807,2MK,,"May 21, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351808,,V351808,,,"May 22, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351809,,V351809,2MK,,"May 21, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351810,,V351810,,,"Jun 23, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351811,,V351811,,,"Jun 22, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351812,,V351812,2MK,,"Aug 3, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351813,,V351813,,,"Aug 3, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351814,,V351814,,,"Aug 3, 2015",,,,"Fuhrpark, München, DE",,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351815,,V351815,2MK,,"Aug 4, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351816,,V351816,,,"Aug 3, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351817,,V351817,2MK,,"Aug 3, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351818,,V351818,,,"Aug 5, 2015",,,,"Woodcliff Lake NJ Company Cars, Woodcliff Lake, US",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351819,,V351819,,,"Aug 4, 2015",,,,"Woodcliff Lake NJ Company Cars, Woodcliff Lake, US",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351820,,V351820,,,"Aug 4, 2015",,,,"Newburgh Auto Auction, Newburgh, US",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351821,,V351821,2MK,,"Aug 21, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351822,,V351822,2MK,,"Aug 24, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351823,,V351823,,,"Aug 24, 2015",,,,"Newburgh Auto Auction, Newburgh, US",,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351824,,V351824,2MK,,"Aug 24, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351825,,V351825,2MK,,"Aug 24, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351826,,V351826,2MK,,"Sep 16, 2015",,,,"Fuhrpark, München, DE",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351827,,V351827,2MK,,"Sep 17, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351828,,V351828,2MK,,"Sep 22, 2015",,,,No information,,,,,,,
