EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
,,,,,,,,,,,,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12453,,VA12453,,,,"Sep 28, 2016",,,"Fuhrpark, München, DE",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12454,,VA12454,2MK,,,"Oct 4, 2016",,,"Fuhrpark, München, DE",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12455,,VA12455,2MK,,,"Dec 13, 2016",,,"Fuhrpark, München, DE",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12456,,VA12456,2MK,,,"Mar 6, 2017",,,BMWNA WORKSHOP EAST BMWNA WORKSHOP EAST,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12457,,VA12457,2MK,,,"Jul 3, 2017",,,"Grenier BMW, Terrebonne, CAN",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12458,,VA12458,2MK,,,"Jul 4, 2017",,,BMW of Mobile,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12459,,VA12459,2MK,,,"Jul 4, 2017",,,BMW of Kansas City South,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12460,,VA12460,,,,"Jul 4, 2017",,,Karl Knauz Motors,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12461,,VA12461,2MK,,,"Jul 4, 2017",,,Santa Monica BMW,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12462,,VA12462,,,,"Jul 4, 2017",,,Prestige BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12463,,VA12463,,,,"Jul 4, 2017",,,BMW of Minnetonka,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12464,,VA12464,,,,"Jul 4, 2017",,,BMW of El Cajon,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12465,,VA12465,,,,"Jul 4, 2017",,,Center BMW,,,,,,,,
