EXTERIOR,Development code,INTERIOR,Year,VIN,,,,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C06M9D00172,,9D00172,2MK,,,"Mar 27, 2020",,USA,"Bill Jacobs BMW/MINI, Naperville, US",,,,,,,,
C1N - Sunstone Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C07M9D00214,,9D00214,2MK,,,"Mar 27, 2020",,USA,"Gebhardt BMW, Boulder, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C01M9D00256,,9D00256,2MK,,,"Mar 27, 2020",,USA,"BMW of Monterey, Seaside, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C02M9D00301,,9D00301,2MK,,,"Mar 27, 2020",,USA,"BMW of Austin, Austin, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C04M9D00378,,9D00378,2MK,,,"Mar 27, 2020",,USA,"BMW Nanaimo, Nanaimo, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C07M9D00438,,9D00438,2MK,,,"May 4, 2020",,USA,"BMW of Mountain View, Mountain View, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C0XM9D00479,,9D00479,2MK,,,"May 4, 2020",,USA,"BMW Ville de Quebec, Quebec City, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C03M9D00520,,9D00520,2MK,,,"May 4, 2020",,USA,"BMW Toronto, Toronto, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C01M9D00581,,9D00581,2MK,,,"May 4, 2020",,USA,"Grenier BMW, Terrebonne, CA",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C00M9D00765,,9D00765,2MK,,,"May 5, 2020",,USA,"Braman Motorcars/Braman MINI of Pal, West Palm Beach, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C02M9D02761,,9D02761,2MK,,,"May 6, 2020",,USA,"Braman BMW/Braman MINI of Miami, Miami, US",,,,,,,,
C28 - Donington Grey Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C07M9D02903,,9D02903,2MK,,,"May 7, 2020",,USA,"Bobby Rahal BMW of South Hills, Canonsburg, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C06M9D02942,,9D02942,2MK,,,"May 7, 2020",,USA,"BMW Encinitas, Encinitas, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C07M9D02982,,9D02982,2MK,,,"May 8, 2020",,USA,"Global Imports BMW, Atlanta, US",,,,,,,,
C28 - Donington Grey Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C04M9D03085,,9D03085,2MK,,,"May 8, 2020",,USA,"BMW of Shrewsbury, Shrewsbury, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C06M9D03167,,9D03167,2MK,,,"May 11, 2020",,USA,"Fields BMW of Daytona, Daytona Beach, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C07M9D03288,,9D03288,2MK,,,"May 11, 2020",,USA,"Keeler BMW, Latham, US",,,,,,,,
300 - Alpine White,F97,MAOQ - Oyster Vernasca Leather,2021,5YMTS0C05M9D03595,,9D03595,2MK,,,"May 13, 2020",,USA,"Pacific BMW, Glendale, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C06M9D06201,,9D06201,2MK,,,"May 15, 2020",,USA,"BMW of Doylestown, Doylestown, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C03M9D06253,,9D06253,2MK,,,"May 15, 2020",,USA,"Co's BMW Center, Loveland, US",,,,,,,,
475 - Black Sapphire Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C09M9D06337,,9D06337,2MK,,,"May 18, 2020",,USA,"Classic BMW, Plano, US",,,,,,,,
